country,tag,count
AFG,smalltalk,1
AFG,sql,100
AFG,sql-server,37
AFG,sqlite,19
AFG,svg,1
AFG,swift,5
AFG,tsql,24
AFG,vb.net,17
AFG,winapi,3
AFG,wpf,15
AFG,xaml,7
AFG,xml,17
AFG,xna,1
AFG,xpath,6
ALB,actionscript-3,5
ALB,android,253
ALB,angularjs,28
ALB,asp.net,202
ALB,assembly,3
ALB,awk,1
ALB,bash,16
ALB,blackberry,7
ALB,c,24
ALB,c#,379
ALB,c++,48
ALB,coffeescript,4
ALB,crystal-reports,3
ALB,css,351
ALB,delphi,56
ALB,django,8
ALB,flash,7
ALB,flex,4
ALB,grails,1
ALB,groovy,1
ALB,html,481
ALB,ios,85
ALB,iphone,37
ALB,java,195
ALB,javascript,687
ALB,jquery,619
ALB,json,67
ALB,julia-lang,1
ALB,magento,8
ALB,matlab,1
ALB,mongodb,12
ALB,ms-access,11
ALB,mysql,348
ALB,node.js,17
ALB,objective-c,28
ALB,opencv,3
ALB,opengl,1
ALB,perl,9
ALB,php,903
ALB,postgresql,5
ALB,powershell,1
ALB,python,47
ALB,qt,5
ALB,r,1
ALB,ruby,95
ALB,ruby-on-rails,34
ALB,sass,5
ALB,silverlight,1
ALB,sql,175
ALB,sql-server,77
ALB,sqlite,10
ALB,svg,7
ALB,swift,8
ALB,tsql,16
ALB,typescript,1
ALB,vb.net,26
ALB,vb6,4
ALB,vba,6
ALB,vbscript,1
ALB,winapi,3
ALB,wpf,7
ALB,xml,43
ALB,xpath,9
ALB,xslt,16
ARM,actionscript-3,70
ARM,android,842
ARM,angularjs,491
ARM,apache-spark,8
ARM,asp.net,178
ARM,assembly,19
ARM,awk,6
ARM,bash,70
ARM,c,473
ARM,c#,1312
ARM,c++,2561
ARM,cassandra,3
ARM,clojure,1
ARM,cocoa,13
ARM,coffeescript,3
ARM,crystal-reports,3
ARM,css,594
ARM,cuda,14
ARM,d,1
ARM,d3.js,3
ARM,django,33
ARM,erlang,4
ARM,flash,70
ARM,flex,26
ARM,go,1
ARM,grails,87
ARM,groovy,9
ARM,gruntjs,5
ARM,haskell,7
ARM,html,829
ARM,ios,684
ARM,iphone,268
ARM,java,975
ARM,javascript,1974
ARM,jquery,1149
ARM,json,211
ARM,latex,2
ARM,lua,1
ARM,magento,9
ARM,mapreduce,2
ARM,matlab,7
ARM,mongodb,138
ARM,mono,3
ARM,ms-access,10
ARM,mysql,521
ARM,node.js,166
ARM,nosql,12
ARM,objective-c,511
ARM,opencv,58
ARM,opengl,38
ARM,pascal,4
ARM,perl,31
ARM,php,1220
ARM,postgresql,22
ARM,postscript,1
ARM,powershell,11
ARM,python,218
ARM,qt,295
ARM,r,36
ARM,redis,11
ARM,ruby,35
ARM,ruby-on-rails,50
ARM,sass,3
ARM,scala,2
ARM,scheme,2
ARM,silverlight,143
ARM,sql,569
ARM,sql-server,278
ARM,sqlite,47
ARM,svg,20
ARM,swift,50
ARM,tcl,93
ARM,tsql,85
ARM,typescript,18
ARM,vb.net,43
ARM,vb6,2
ARM,vba,4
ARM,vbscript,1
ARM,winapi,45
ARM,wolfram-mathematica,3
ARM,wpf,112
ARM,xaml,63
ARM,xml,127
ARM,xna,2
ARM,xpath,16
ARM,xslt,2
ARG,actionscript-3,512
ARG,android,4067
ARG,angularjs,1294
ARG,apache-spark,13
ARG,asp.net,1971
ARG,assembly,73
ARG,awk,77
ARG,bash,456
ARG,blackberry,78
ARG,c,1647
ARG,c#,6259
ARG,c++,2741
ARG,cassandra,38
ARG,clojure,99
ARG,cobol,22
ARG,cocoa,98
ARG,coffeescript,137
ARG,common-lisp,9
ARG,crystal-reports,33
ARG,css,2693
ARG,cuda,14
ARG,cython,15
ARG,d,7
ARG,d3.js,99
ARG,dart,6
ARG,delphi,154
ARG,django,987
ARG,elisp,2
ARG,erlang,44
ARG,f#,11
ARG,flash,329
ARG,flex,173
ARG,fortran,8
ARG,go,91
ARG,grails,205
ARG,groovy,180
ARG,gruntjs,99
ARG,haskell,46
ARG,html,3534
ARG,ios,1325
ARG,iphone,841
ARG,java,7143
ARG,javascript,7924
ARG,jquery,5246
ARG,json,869
ARG,julia-lang,2
ARG,jython,11
ARG,latex,27
ARG,lisp,14
ARG,lua,21
ARG,magento,114
ARG,mapreduce,31
ARG,matlab,236
ARG,mongodb,344
ARG,mono,27
ARG,ms-access,118
ARG,mysql,5299
ARG,node.js,1022
ARG,nosql,37
ARG,objective-c,813
ARG,opencv,109
ARG,opengl,42
ARG,pascal,14
ARG,perl,197
ARG,php,5975
ARG,postgresql,462
ARG,postscript,1
ARG,powershell,48
ARG,python,3087
ARG,qt,141
ARG,r,436
ARG,redis,54
ARG,ruby,1188
ARG,ruby-on-rails,1655
ARG,rust,5
ARG,sass,61
ARG,scala,362
ARG,scheme,7
ARG,silverlight,119
ARG,smalltalk,75
ARG,sql,4176
ARG,sql-server,1364
ARG,sqlite,332
ARG,svg,94
ARG,swift,192
ARG,tcl,6
ARG,tsql,368
ARG,typescript,53
ARG,vb.net,433
ARG,vb6,75
ARG,vba,250
ARG,vbscript,36
ARG,winapi,104
ARG,wolfram-mathematica,427
ARG,wpf,1093
ARG,xaml,242
ARG,xml,562
ARG,xna,29
ARG,xpath,75
ARG,xslt,53
AUT,actionscript-3,338
AUT,android,7459
AUT,angularjs,1377
AUT,apache-spark,38
AUT,asp.net,1934
AUT,assembly,113
AUT,awk,104
AUT,bash,651
AUT,blackberry,88
AUT,c,1670
AUT,c#,10730
AUT,c++,4544
AUT,cassandra,27
AUT,clojure,78
AUT,cobol,5
AUT,cocoa,482
AUT,coffeescript,67
AUT,common-lisp,4
AUT,crystal-reports,17
AUT,css,3388
AUT,cuda,61
AUT,cython,11
AUT,d,12
AUT,d3.js,109
AUT,dart,2423
AUT,delphi,171
AUT,django,1405
AUT,elisp,7
AUT,erlang,36
AUT,f#,122
AUT,flash,198
AUT,flex,168
AUT,fortran,295
AUT,go,139
AUT,grails,245
AUT,groovy,471
AUT,gruntjs,50
AUT,haskell,372
AUT,html,4396
AUT,ios,3183
AUT,iphone,1668
AUT,java,11487
AUT,javascript,8456
AUT,jquery,5072
AUT,json,1276
AUT,julia-lang,2
AUT,jython,16
AUT,latex,95
AUT,lisp,13
AUT,lua,64
AUT,magento,141
AUT,mapreduce,34
AUT,matlab,442
AUT,mongodb,461
AUT,mono,109
AUT,ms-access,263
AUT,mysql,3516
AUT,node.js,658
AUT,nosql,84
AUT,objective-c,1863
AUT,opencv,180
AUT,opengl,371
AUT,pascal,9
AUT,perl,334
AUT,php,8096
AUT,postgresql,4925
AUT,postscript,5
AUT,powershell,147
AUT,python,3986
AUT,qt,510
AUT,r,1400
AUT,redis,49
AUT,ruby,1143
AUT,ruby-on-rails,2054
AUT,rust,25
AUT,sass,105
AUT,scala,529
AUT,scheme,12
AUT,silverlight,180
AUT,smalltalk,4
AUT,sql,5955
AUT,sql-server,1827
AUT,sqlite,396
AUT,svg,157
AUT,swift,753
AUT,tcl,20
AUT,tsql,490
AUT,typescript,874
AUT,vb.net,847
AUT,vb6,52
AUT,vba,419
AUT,vbscript,114
AUT,winapi,236
AUT,wolfram-mathematica,29
AUT,wpf,1506
AUT,xaml,426
AUT,xml,1373
AUT,xna,95
AUT,xpath,116
AUT,xslt,117
AUS,actionscript-3,2326
AUS,android,15070
AUS,angularjs,6040
AUS,apache-spark,143
AUS,asp.net,14977
AUS,assembly,638
AUS,awk,263
AUS,bash,2002
AUS,blackberry,94
AUS,c,9710
AUS,c#,54625
AUS,c++,17703
AUS,cassandra,108
AUS,clojure,766
AUS,cobol,36
AUS,cocoa,2198
AUS,coffeescript,370
AUS,common-lisp,80
AUS,crystal-reports,188
AUS,css,16484
AUS,cuda,310
AUS,cython,26
AUS,d,36
AUS,d3.js,743
AUS,dart,131
AUS,delphi,1483
AUS,django,4615
AUS,elisp,120
AUS,erlang,303
AUS,f#,877
AUS,flash,1997
AUS,flex,1611
AUS,fortran,454
AUS,go,1151
AUS,grails,648
AUS,groovy,473
AUS,gruntjs,250
AUS,haskell,1331
AUS,html,20814
AUS,ios,14741
AUS,iphone,9964
AUS,java,69395
AUS,javascript,41118
AUS,jquery,27319
AUS,json,5377
AUS,julia-lang,111
AUS,jython,108
AUS,latex,313
AUS,lisp,142
AUS,lua,353
AUS,magento,1349
AUS,mapreduce,235
AUS,matlab,797
AUS,mongodb,4076
AUS,mono,397
AUS,ms-access,1130
AUS,mysql,14678
AUS,node.js,4345
AUS,nosql,324
AUS,objective-c,10691
AUS,opencv,569
AUS,opengl,845
AUS,pascal,38
AUS,perl,1747
AUS,php,31696
AUS,postgresql,4816
AUS,postscript,20
AUS,powershell,1348
AUS,python,24516
AUS,qt,937
AUS,r,7414
AUS,redis,288
AUS,ruby,8386
AUS,ruby-on-rails,12743
AUS,rust,715
AUS,sass,328
AUS,scala,2185
AUS,scheme,86
AUS,silverlight,2143
AUS,smalltalk,57
AUS,sql,16080
AUS,sql-server,8285
AUS,sqlite,1242
AUS,svg,551
AUS,swift,3185
AUS,tcl,31
AUS,tsql,2143
AUS,typescript,2756
AUS,vb.net,4136
AUS,vb6,487
AUS,vba,2941
AUS,vbscript,604
AUS,winapi,1635
AUS,wolfram-mathematica,402
AUS,wpf,6804
AUS,xaml,1923
AUS,xml,5151
AUS,xna,861
AUS,xpath,700
AUS,xslt,1302
AZE,actionscript-3,12
AZE,android,305
AZE,angularjs,132
AZE,apache-spark,1
AZE,asp.net,316
AZE,awk,3
AZE,bash,34
AZE,c,16
AZE,c#,1023
AZE,c++,67
AZE,cocoa,1
AZE,coffeescript,3
AZE,crystal-reports,15
AZE,css,191
AZE,d3.js,5
AZE,delphi,34
AZE,django,19
AZE,flash,10
AZE,flex,28
AZE,go,1
AZE,grails,31
AZE,groovy,7
AZE,gruntjs,3
AZE,haskell,3
AZE,html,370
AZE,ios,75
AZE,iphone,58
AZE,java,509
AZE,javascript,813
AZE,jquery,552
AZE,json,112
AZE,magento,2
AZE,mapreduce,17
AZE,matlab,2
AZE,mongodb,171
AZE,ms-access,11
AZE,mysql,375
AZE,node.js,101
AZE,nosql,12
AZE,objective-c,51
AZE,opencv,19
AZE,opengl,1
AZE,pascal,6
AZE,perl,2
AZE,php,901
AZE,postgresql,31
AZE,powershell,2
AZE,python,84
AZE,qt,12
AZE,r,1
AZE,redis,1
AZE,ruby,108
AZE,ruby-on-rails,154
AZE,sass,1
AZE,scala,4
AZE,silverlight,25
AZE,sql,260
AZE,sql-server,89
AZE,sqlite,13
AZE,svg,2
AZE,swift,27
AZE,tsql,22
AZE,typescript,2
AZE,vb.net,23
AZE,vba,3
AZE,vbscript,1
AZE,winapi,10
AZE,wpf,120
AZE,xaml,31
AZE,xml,50
AZE,xpath,2
BIH,actionscript-3,19
BIH,android,578
BIH,angularjs,462
BIH,apache-spark,5
BIH,asp.net,364
BIH,assembly,5
BIH,awk,5
BIH,bash,22
BIH,blackberry,1
BIH,c,85
BIH,c#,1072
BIH,c++,225
BIH,cassandra,2
BIH,cocoa,3
BIH,coffeescript,12
BIH,crystal-reports,2
BIH,css,544
BIH,d3.js,4
BIH,dart,2
BIH,delphi,36
BIH,django,215
BIH,erlang,1
BIH,flash,18
BIH,flex,32
BIH,fortran,1
BIH,grails,1
BIH,gruntjs,10
BIH,html,745
BIH,ios,314
BIH,iphone,50
BIH,java,733
BIH,javascript,1518
BIH,jquery,1096
BIH,json,203
BIH,julia-lang,1
BIH,jython,7
BIH,latex,1
BIH,lua,2
BIH,magento,7
BIH,mapreduce,5
BIH,matlab,5
BIH,mongodb,36
BIH,mono,8
BIH,ms-access,13
BIH,mysql,538
BIH,node.js,163
BIH,nosql,5
BIH,objective-c,112
BIH,opencv,4
BIH,opengl,7
BIH,pascal,1
BIH,perl,10
BIH,php,1757
BIH,postgresql,54
BIH,powershell,16
BIH,python,293
BIH,qt,37
BIH,r,15
BIH,redis,7
BIH,ruby,273
BIH,ruby-on-rails,461
BIH,sass,4
BIH,scala,70
BIH,silverlight,10
BIH,sql,423
BIH,sql-server,278
BIH,sqlite,29
BIH,svg,7
BIH,swift,211
BIH,tcl,2
BIH,tsql,74
BIH,typescript,30
BIH,vb.net,80
BIH,vb6,3
BIH,vba,2
BIH,vbscript,3
BIH,winapi,7
BIH,wpf,37
BIH,xaml,15
BIH,xml,99
BIH,xpath,25
BIH,xslt,7
BGD,actionscript-3,176
BGD,android,8317
BGD,angularjs,1826
BGD,apache-spark,12
BGD,asp.net,1514
BGD,assembly,27
BGD,awk,66
BGD,bash,751
BGD,blackberry,33
BGD,c,1409
BGD,c#,3748
BGD,c++,1738
BGD,cassandra,38
BGD,clojure,4
BGD,cocoa,39
BGD,coffeescript,8
BGD,common-lisp,4
BGD,crystal-reports,66
BGD,css,3569
BGD,cuda,12
BGD,cython,2
BGD,d,1
BGD,d3.js,15
BGD,delphi,8
BGD,django,834
BGD,erlang,4
BGD,f#,9
BGD,flash,107
BGD,flex,47
BGD,fortran,4
BGD,go,42
BGD,grails,203
BGD,groovy,27
BGD,gruntjs,13
BGD,haskell,5
BGD,html,5514
BGD,ios,2382
BGD,iphone,1184
BGD,java,6720
BGD,javascript,9628
BGD,jquery,8720
BGD,json,1338
BGD,jython,5
BGD,latex,7
BGD,lisp,7
BGD,lua,8
BGD,magento,190
BGD,mapreduce,12
BGD,matlab,71
BGD,mongodb,301
BGD,mono,12
BGD,ms-access,58
BGD,mysql,4485
BGD,node.js,570
BGD,nosql,20
BGD,objective-c,1469
BGD,opencv,104
BGD,opengl,32
BGD,pascal,1
BGD,perl,109
BGD,php,12695
BGD,postgresql,187
BGD,powershell,13
BGD,python,2849
BGD,qt,189
BGD,r,60
BGD,redis,24
BGD,ruby,913
BGD,ruby-on-rails,1749
BGD,rust,3
BGD,sass,20
BGD,scala,43
BGD,scheme,5
BGD,silverlight,42
BGD,sql,1878
BGD,sql-server,698
BGD,sqlite,363
BGD,svg,31
BGD,swift,476
BGD,tcl,10
BGD,tsql,93
BGD,typescript,49
BGD,vb.net,180
BGD,vb6,27
BGD,vba,123
BGD,vbscript,19
BGD,winapi,36
BGD,wolfram-mathematica,6
BGD,wpf,258
BGD,xaml,126
BGD,xml,570
BGD,xna,3
BGD,xpath,76
BGD,xslt,9
BEL,actionscript-3,787
BEL,android,6284
BEL,angularjs,2717
BEL,apache-spark,392
BEL,asp.net,3818
BEL,assembly,388
BEL,awk,87
BEL,bash,720
BEL,blackberry,26
BEL,c,2136
BEL,c#,16469
BEL,c++,7577
BEL,cassandra,51
BEL,clojure,94
BEL,cobol,14
BEL,cocoa,277
BEL,coffeescript,111
BEL,common-lisp,18
BEL,crystal-reports,53
BEL,css,6331
BEL,cuda,51
BEL,cython,12
BEL,d,88
BEL,d3.js,143
BEL,dart,73
BEL,delphi,1067
BEL,django,696
BEL,elisp,19
BEL,erlang,76
BEL,f#,38
BEL,flash,570
BEL,flex,1048
BEL,fortran,37
BEL,go,112
BEL,grails,194
BEL,groovy,144
BEL,gruntjs,136
BEL,haskell,317
BEL,html,7813
BEL,ios,2832
BEL,iphone,1462
BEL,java,17879
BEL,javascript,15230
BEL,jquery,9620
BEL,json,1770
BEL,julia-lang,5
BEL,jython,20
BEL,latex,97
BEL,lisp,38
BEL,lua,276
BEL,magento,510
BEL,mapreduce,39
BEL,matlab,780
BEL,mongodb,408
BEL,mono,106
BEL,ms-access,309
BEL,mysql,4673
BEL,node.js,1302
BEL,nosql,50
BEL,objective-c,1821
BEL,opencv,184
BEL,opengl,266
BEL,pascal,17
BEL,perl,359
BEL,php,12468
BEL,postgresql,380
BEL,postscript,17
BEL,powershell,838
BEL,python,4891
BEL,qt,860
BEL,r,1902
BEL,redis,53
BEL,ruby,1781
BEL,ruby-on-rails,4035
BEL,rust,57
BEL,sass,117
BEL,scala,653
BEL,scheme,64
BEL,silverlight,358
BEL,smalltalk,61
BEL,sql,4075
BEL,sql-server,2062
BEL,sqlite,417
BEL,svg,184
BEL,swift,633
BEL,tcl,14
BEL,tsql,518
BEL,typescript,246
BEL,vb.net,1596
BEL,vb6,68
BEL,vba,573
BEL,vbscript,89
BEL,winapi,442
BEL,wolfram-mathematica,11
BEL,wpf,1658
BEL,xaml,670
BEL,xml,1653
BEL,xna,74
BEL,xpath,173
BEL,xslt,303
BGR,actionscript-3,198
BGR,android,4360
BGR,angularjs,675
BGR,apache-spark,13
BGR,asp.net,5104
BGR,assembly,58
BGR,awk,19
BGR,bash,256
BGR,blackberry,11
BGR,c,1519
BGR,c#,14085
BGR,c++,2828
BGR,cassandra,27
BGR,clojure,107
BGR,cocoa,42
BGR,coffeescript,37
BGR,common-lisp,17
BGR,crystal-reports,15
BGR,css,2327
BGR,cuda,8
BGR,cython,1
BGR,d,5
BGR,d3.js,11
BGR,dart,25
BGR,delphi,285
BGR,django,591
BGR,elisp,39
BGR,erlang,18
BGR,f#,33
BGR,flash,143
BGR,flex,141
BGR,fortran,5
BGR,go,41
BGR,grails,55
BGR,groovy,78
BGR,gruntjs,29
BGR,haskell,42
BGR,html,3705
BGR,ios,1302
BGR,iphone,601
BGR,java,11630
BGR,javascript,8821
BGR,jquery,7464
BGR,json,1589
BGR,jython,3
BGR,latex,11
BGR,lisp,18
BGR,lua,36
BGR,magento,118
BGR,mapreduce,2
BGR,matlab,50
BGR,mongodb,250
BGR,mono,52
BGR,ms-access,66
BGR,mysql,2596
BGR,node.js,448
BGR,nosql,31
BGR,objective-c,679
BGR,opencv,215
BGR,opengl,60
BGR,pascal,9
BGR,perl,115
BGR,php,6883
BGR,postgresql,512
BGR,postscript,3
BGR,powershell,74
BGR,python,1305
BGR,qt,153
BGR,r,21
BGR,redis,19
BGR,ruby,648
BGR,ruby-on-rails,832
BGR,sass,62
BGR,scala,84
BGR,scheme,16
BGR,silverlight,236
BGR,smalltalk,1
BGR,sql,1934
BGR,sql-server,1028
BGR,sqlite,231
BGR,svg,59
BGR,swift,200
BGR,tsql,406
BGR,typescript,92
BGR,vb.net,519
BGR,vb6,288
BGR,vba,175
BGR,vbscript,174
BGR,winapi,88
BGR,wolfram-mathematica,3
BGR,wpf,501
BGR,xaml,232
BGR,xml,918
BGR,xna,21
BGR,xpath,72
BGR,xslt,45
BHR,actionscript-3,9
BHR,android,402
BHR,angularjs,27
BHR,asp.net,48
BHR,assembly,1
BHR,bash,15
BHR,blackberry,1
BHR,c,6
BHR,c#,118
BHR,c++,16
BHR,cassandra,2
BHR,cobol,1
BHR,cocoa,1
BHR,crystal-reports,2
BHR,css,87
BHR,cython,1
BHR,delphi,22
BHR,django,23
BHR,flash,12
BHR,groovy,7
BHR,gruntjs,5
BHR,html,138
BHR,ios,61
BHR,iphone,19
BHR,java,210
BHR,javascript,184
BHR,jquery,128
BHR,json,35
BHR,jython,2
BHR,lua,1
BHR,magento,18
BHR,ms-access,2
BHR,mysql,101
BHR,node.js,2
BHR,objective-c,37
BHR,opencv,10
BHR,opengl,1
BHR,php,337
BHR,postgresql,4
BHR,python,220
BHR,qt,4
BHR,ruby,7
BHR,ruby-on-rails,5
BHR,sass,8
BHR,silverlight,12
BHR,sql,51
BHR,sql-server,24
BHR,sqlite,20
BHR,svg,3
BHR,tsql,1
BHR,vb.net,4
BHR,vbscript,3
BHR,winapi,1
BHR,wpf,12
BHR,xaml,8
BHR,xml,27
BOL,actionscript-3,1
BOL,android,215
BOL,angularjs,43
BOL,asp.net,106
BOL,awk,1
BOL,bash,7
BOL,blackberry,5
BOL,c,32
BOL,c#,465
BOL,c++,104
BOL,cassandra,4
BOL,cocoa,7
BOL,coffeescript,3
BOL,crystal-reports,5
BOL,css,144
BOL,cuda,2
BOL,d3.js,2
BOL,delphi,3
BOL,django,51
BOL,elisp,3
BOL,flash,5
BOL,flex,1
BOL,fortran,1
BOL,grails,28
BOL,groovy,6
BOL,gruntjs,2
BOL,haskell,3
BOL,html,233
BOL,ios,340
BOL,iphone,75
BOL,java,331
BOL,javascript,682
BOL,jquery,724
BOL,json,94
BOL,latex,5
BOL,lua,2
BOL,magento,3
BOL,matlab,1
BOL,mongodb,18
BOL,mono,6
BOL,ms-access,4
BOL,mysql,99
BOL,node.js,90
BOL,nosql,1
BOL,objective-c,201
BOL,perl,2
BOL,php,236
BOL,postgresql,21
BOL,python,86
BOL,qt,6
BOL,r,2
BOL,ruby,33
BOL,ruby-on-rails,53
BOL,sass,6
BOL,scala,5
BOL,silverlight,7
BOL,sql,97
BOL,sql-server,55
BOL,sqlite,12
BOL,svg,3
BOL,swift,37
BOL,tsql,6
BOL,typescript,3
BOL,vb.net,25
BOL,vba,2
BOL,vbscript,2
BOL,winapi,2
BOL,wpf,57
BOL,xaml,3
BOL,xml,43
BOL,xna,1
BOL,xpath,4
BOL,xslt,2
BRA,actionscript-3,635
BRA,android,12849
BRA,angularjs,4191
BRA,apache-spark,122
BRA,asp.net,4607
BRA,assembly,246
BRA,awk,169
BRA,bash,1080
BRA,blackberry,21
BRA,c,3704
BRA,c#,16444
BRA,c++,6470
BRA,cassandra,96
BRA,clojure,229
BRA,cobol,18
BRA,cocoa,279
BRA,coffeescript,190
BRA,common-lisp,35
BRA,crystal-reports,115
BRA,css,7767
BRA,cuda,112
BRA,cython,27
BRA,d,21
BRA,d3.js,172
BRA,dart,90
BRA,delphi,1906
BRA,django,2423
BRA,elisp,29
BRA,erlang,101
BRA,f#,70
BRA,flash,544
BRA,flex,346
BRA,fortran,51
BRA,go,272
BRA,grails,960
BRA,groovy,251
BRA,gruntjs,180
BRA,haskell,448
BRA,html,10534
BRA,ios,5459
BRA,iphone,1994
BRA,java,18797
BRA,javascript,25086
BRA,jquery,15019
BRA,json,2946
BRA,julia-lang,9
BRA,jython,27
BRA,latex,91
BRA,lisp,72
BRA,lua,358
BRA,magento,556
BRA,mapreduce,79
BRA,matlab,574
BRA,mongodb,1053
BRA,mono,149
BRA,ms-access,207
BRA,mysql,6409
BRA,node.js,2425
BRA,nosql,142
BRA,objective-c,2769
BRA,opencv,1173
BRA,opengl,351
BRA,pascal,47
BRA,perl,330
BRA,php,16278
BRA,postgresql,2810
BRA,postscript,9
BRA,powershell,182
BRA,python,10876
BRA,qt,941
BRA,r,1707
BRA,redis,174
BRA,ruby,4504
BRA,ruby-on-rails,6607
BRA,rust,185
BRA,sass,144
BRA,scala,2701
BRA,scheme,47
BRA,silverlight,296
BRA,smalltalk,20
BRA,sql,5560
BRA,sql-server,2203
BRA,sqlite,646
BRA,svg,260
BRA,swift,2267
BRA,tcl,37
BRA,tsql,435
BRA,typescript,249
BRA,vb.net,928
BRA,vb6,134
BRA,vba,545
BRA,vbscript,194
BRA,winapi,385
BRA,wolfram-mathematica,17
BRA,wpf,1281
BRA,xaml,363
BRA,xml,2268
BRA,xna,67
BRA,xpath,409
BRA,xslt,382
BLR,actionscript-3,159
BLR,android,3048
BLR,angularjs,950
BLR,apache-spark,32
BLR,asp.net,1080
BLR,assembly,60
BLR,awk,19
BLR,bash,172
BLR,blackberry,34
BLR,c,367
BLR,c#,7492
BLR,c++,1414
BLR,cassandra,35
BLR,clojure,46
BLR,cobol,1
BLR,cocoa,144
BLR,coffeescript,39
BLR,common-lisp,4
BLR,crystal-reports,5
BLR,css,1008
BLR,cuda,4
BLR,cython,1
BLR,d,14
BLR,d3.js,23
BLR,dart,1
BLR,delphi,191
BLR,django,477
BLR,elisp,1
BLR,erlang,25
BLR,f#,30
BLR,flash,101
BLR,flex,226
BLR,fortran,1
BLR,go,36
BLR,grails,232
BLR,groovy,96
BLR,gruntjs,28
BLR,haskell,181
BLR,html,1447
BLR,ios,2005
BLR,iphone,1875
BLR,java,5349
BLR,javascript,3824
BLR,jquery,1875
BLR,json,559
BLR,jython,2
BLR,latex,6
BLR,lisp,6
BLR,lua,10
BLR,magento,119
BLR,mapreduce,25
BLR,matlab,32
BLR,mongodb,636
BLR,mono,29
BLR,ms-access,28
BLR,mysql,1148
BLR,node.js,354
BLR,nosql,71
BLR,objective-c,1791
BLR,opencv,44
BLR,opengl,42
BLR,pascal,5
BLR,perl,553
BLR,php,2239
BLR,postgresql,162
BLR,powershell,56
BLR,python,1682
BLR,qt,637
BLR,r,73
BLR,redis,26
BLR,ruby,1646
BLR,ruby-on-rails,2385
BLR,rust,17
BLR,sass,32
BLR,scala,403
BLR,scheme,7
BLR,silverlight,168
BLR,smalltalk,2
BLR,sql,1173
BLR,sql-server,404
BLR,sqlite,149
BLR,svg,82
BLR,swift,346
BLR,tcl,3
BLR,tsql,90
BLR,typescript,94
BLR,vb.net,163
BLR,vb6,8
BLR,vba,475
BLR,vbscript,33
BLR,winapi,84
BLR,wpf,526
BLR,xaml,157
BLR,xml,810
BLR,xna,18
BLR,xpath,144
BLR,xslt,57
CAN,actionscript-3,3971
CAN,android,22688
CAN,angularjs,7660
CAN,apache-spark,257
CAN,asp.net,18408
CAN,assembly,1719
CAN,awk,2624
CAN,bash,6803
CAN,blackberry,1409
CAN,c,12887
CAN,c#,58780
CAN,c++,29857
CAN,cassandra,209
CAN,clojure,738
CAN,cobol,249
CAN,cocoa,2121
CAN,coffeescript,1096
CAN,common-lisp,196
CAN,crystal-reports,432
CAN,css,27722
CAN,cuda,322
CAN,cython,84
CAN,d,72
CAN,d3.js,1023
CAN,dart,276
CAN,delphi,2753
CAN,django,5421
CAN,elisp,269
CAN,erlang,438
